hours_studied,sleep_hours,exam_score
4.37,4.16,26.77
9.56,7.18,63.31
7.59,5.57,50.55
6.39,6.54,41.45
2.4,8.54,38.43
2.4,5.25,24.88
1.52,6.05,13.76
8.8,7.78,62.82
6.41,5.14,37.46
7.37,4.38,49.57
1.19,5.45,22.62
9.73,4.81,54.15
8.49,8.65,64.57
2.91,8.04,90.75
2.64,7.17,81.73
2.65,8.36,39.45
3.74,8.02,33.5
5.72,4.93,34.71
4.89,8.46,36.92
3.62,6.7,27.42
6.51,8.04,48.22
2.26,8.48,29.94
3.63,5.59,30.71
4.3,4.55,34.72
5.1,5.14,35.87
8.07,6.14,59.87
2.8,8.09,28.84
5.63,8.3,58.35
6.33,4.03,42.86
1.42,6.55,15.91
6.47,6.09,39.16
2.53,5.11,25.31
1.59,4.6,16.01
9.54,5.69,62.65
9.69,8.71,68.25
8.28,5.62,52.25
3.74,6.59,27.66
1.88,7.52,16.85
7.16,5.82,45.19
4.96,8.86,46.81
2.1,8.81,29.19
5.46,5.26,31.57
1.31,6.49,20.39
9.18,5.5,58.85
3.33,5.42,23.07
6.96,4.18,43.95
3.81,7.05,33.41
5.68,6.51,35.71
5.92,4.26,39.91
2.66,5.39,26.91
9.73,8.54,71.13
7.98,5.2,55.55
9.46,4.72,49.84
9.05,6.45,53.47
6.38,8.93,52.34
9.3,5.21,114.49
1.8,7.36,26.28
2.76,7.81,48.7
1.41,5.19,20.27
3.93,7.64,40.6
4.5,5.84,38.94
3.44,7.16,34.79
8.46,7.17,55.05
4.21,6.68,38.21
3.53,4.45,22.68
5.88,8.18,44.59
2.27,5.6,20.12
8.22,4.93,51.37
1.67,4.2,28.34
9.88,6.95,53.98
7.95,7.39,57.96
2.79,4.08,14.04
1.05,6.56,16.01
8.34,5.13,57.41
7.36,7.23,51.58
7.56,4.87,42.16
7.94,7.45,51.04
1.67,5.93,23.6
4.23,8.68,34.85
2.04,4.69,20.67
8.77,5.71,55.48
6.61,4.57,80.99
3.98,8.62,47.86
1.57,8.39,27.8
3.8,5.29,19.45
3.93,7.3,35.17
7.57,8.09,50.7
6.74,6.78,51.5
8.98,6.65,54.26
5.25,5.21,36.09
2.08,4.47,21.84
7.42,8.49,58.4
7.85,8.5,50.24
6.05,7.17,42.92
7.94,5.7,48.71
5.44,5.75,35.45
5.7,7.63,107.7
4.85,8.49,43.24
1.23,8.44,16.71
1.97,7.9,30.24
